자치구_코드_명,년_분기,프랜차이즈_점포_수
강남구,2019-01,3206
강남구,2019-02,3237
강남구,2019-03,3223
강남구,2019-04,3226
강남구,2020-01,3209
강남구,2020-02,3236
강남구,2020-03,3217
강남구,2020-04,3185
강남구,2021-01,3171
강남구,2021-02,3160
강남구,2021-03,3151
강남구,2021-04,3168
강남구,2022-01,3122
강남구,2022-02,3117
강남구,2022-03,3088
강남구,2022-04,3070
강남구,2023-01,3051
강남구,2023-02,3027
강남구,2023-03,2984
강남구,2023-04,2967
강남구,2024-01,2926
강남구,2024-02,2925
강동구,2019-01,1180
강동구,2019-02,1190
강동구,2019-03,1179
강동구,2019-04,1186
강동구,2020-01,1178
강동구,2020-02,1197
강동구,2020-03,1204
강동구,2020-04,1222
강동구,2021-01,1232
강동구,2021-02,1241
강동구,2021-03,1238
강동구,2021-04,1244
강동구,2022-01,1241
강동구,2022-02,1255
강동구,2022-03,1229
강동구,2022-04,1216
강동구,2023-01,1204
강동구,2023-02,1199
강동구,2023-03,1158
강동구,2023-04,1163
강동구,2024-01,1159
강동구,2024-02,1149
강북구,2019-01,749
강북구,2019-02,745
강북구,2019-03,740
강북구,2019-04,739
강북구,2020-01,744
강북구,2020-02,737
강북구,2020-03,746
강북구,2020-04,740
강북구,2021-01,751
강북구,2021-02,753
강북구,2021-03,770
강북구,2021-04,777
강북구,2022-01,787
강북구,2022-02,780
강북구,2022-03,775
강북구,2022-04,764
강북구,2023-01,751
강북구,2023-02,758
강북구,2023-03,756
강북구,2023-04,751
강북구,2024-01,746
강북구,2024-02,748
강서구,2019-01,1711
강서구,2019-02,1736
강서구,2019-03,1756
강서구,2019-04,1771
강서구,2020-01,1775
강서구,2020-02,1793
강서구,2020-03,1782
강서구,2020-04,1812
강서구,2021-01,1817
강서구,2021-02,1815
강서구,2021-03,1824
강서구,2021-04,1822
강서구,2022-01,1823
강서구,2022-02,1819
강서구,2022-03,1795
강서구,2022-04,1785
강서구,2023-01,1770
강서구,2023-02,1773
강서구,2023-03,1748
강서구,2023-04,1739
강서구,2024-01,1737
강서구,2024-02,1736
관악구,2019-01,1316
관악구,2019-02,1320
관악구,2019-03,1312
관악구,2019-04,1325
관악구,2020-01,1318
관악구,2020-02,1322
관악구,2020-03,1323
관악구,2020-04,1317
관악구,2021-01,1321
관악구,2021-02,1332
관악구,2021-03,1329
관악구,2021-04,1327
관악구,2022-01,1312
관악구,2022-02,1316
관악구,2022-03,1300
관악구,2022-04,1293
관악구,2023-01,1273
관악구,2023-02,1275
관악구,2023-03,1258
관악구,2023-04,1240
관악구,2024-01,1223
관악구,2024-02,1211
광진구,2019-01,1134
광진구,2019-02,1145
광진구,2019-03,1149
광진구,2019-04,1138
광진구,2020-01,1156
광진구,2020-02,1171
광진구,2020-03,1170
광진구,2020-04,1178
광진구,2021-01,1171
광진구,2021-02,1175
광진구,2021-03,1187
광진구,2021-04,1178
광진구,2022-01,1183
광진구,2022-02,1189
광진구,2022-03,1191
광진구,2022-04,1173
광진구,2023-01,1166
광진구,2023-02,1147
광진구,2023-03,1130
광진구,2023-04,1125
광진구,2024-01,1110
광진구,2024-02,1112
구로구,2019-01,1199
구로구,2019-02,1205
구로구,2019-03,1209
구로구,2019-04,1191
구로구,2020-01,1190
구로구,2020-02,1213
구로구,2020-03,1239
구로구,2020-04,1254
구로구,2021-01,1252
구로구,2021-02,1260
구로구,2021-03,1272
구로구,2021-04,1293
구로구,2022-01,1289
구로구,2022-02,1307
구로구,2022-03,1277
구로구,2022-04,1280
구로구,2023-01,1260
구로구,2023-02,1248
구로구,2023-03,1256
구로구,2023-04,1235
구로구,2024-01,1211
구로구,2024-02,1199
금천구,2019-01,875
금천구,2019-02,906
금천구,2019-03,918
금천구,2019-04,936
금천구,2020-01,945
금천구,2020-02,958
금천구,2020-03,967
금천구,2020-04,979
금천구,2021-01,989
금천구,2021-02,994
금천구,2021-03,1011
금천구,2021-04,1014
금천구,2022-01,1023
금천구,2022-02,1018
금천구,2022-03,1021
금천구,2022-04,1010
금천구,2023-01,1005
금천구,2023-02,994
금천구,2023-03,965
금천구,2023-04,962
금천구,2024-01,969
금천구,2024-02,957
노원구,2019-01,1192
노원구,2019-02,1207
노원구,2019-03,1205
노원구,2019-04,1201
노원구,2020-01,1205
노원구,2020-02,1216
노원구,2020-03,1220
노원구,2020-04,1227
노원구,2021-01,1216
노원구,2021-02,1227
노원구,2021-03,1231
