Unnamed: 0,2019 사업체수,2019 종사자수,2020 사업체수,2020 종사자수,2021 사업체수,2021 종사자수,2022 사업체수,2022 종사자수
종로구,"39,679","260,446","50,531","284,570","48,361","275,063","47,595","278,403"
중구,"60,127","392,568","76,129","408,064","70,308","386,564","68,143","386,148"
용산구,"20,254","135,240","31,507","154,288","29,680","152,605","28,047","151,851"
성동구,"28,343","178,243","41,582","196,377","41,665","203,221","41,306","205,900"
광진구,"24,445","126,305","35,423","134,230","33,706","129,707","33,325","129,917"
동대문구,"31,324","138,400","43,029","148,308","42,813","146,383","42,491","145,879"
중랑구,"28,228","103,345","38,558","111,086","39,310","113,144","40,320","114,733"
성북구,"23,617","111,005","34,420","121,798","34,712","124,004","35,162","125,727"
강북구,"19,014","73,904","26,711","83,276","26,385","80,222","26,114","79,859"
도봉구,"18,628","72,939","25,607","79,429","25,391","79,097","25,193","77,618"
노원구,"26,618","116,684","37,442","127,454","37,909","133,398","38,018","129,198"
은평구,"24,681","93,631","36,273","108,362","36,509","109,031","36,430","107,697"
서대문구,"20,095","113,819","28,769","120,347","28,522","118,256","28,427","119,608"
마포구,"37,290","247,276","58,694","285,083","56,782","279,788","55,516","274,678"
양천구,"25,894","121,582","37,183","130,371","37,929","133,776","37,774","133,815"
강서구,"39,458","257,494","58,788","280,238","58,806","290,473","59,660","299,324"
구로구,"38,756","225,668","53,547","239,168","52,791","240,689","52,988","242,640"
금천구,"33,814","242,686","47,354","262,665","47,964","255,449","48,438","256,316"
영등포구,"42,370","373,478","74,060","434,698","74,562","435,017","75,470","433,237"
동작구,"19,793","106,159","28,505","110,642","27,915","109,281","27,120","107,069"
관악구,"25,505","115,329","38,639","135,681","37,915","128,417","36,814","126,395"
서초구,"46,940","438,985","75,858","497,678","71,958","487,976","69,975","492,367"
강남구,"71,027","698,840","115,054","838,446","110,007","801,419","107,804","802,908"
송파구,"48,644","341,201","76,412","411,898","74,531","400,781","74,738","409,305"
강동구,"29,080","141,770","40,978","164,769","41,660","157,465","43,157","164,833"
