자치구,행정동,2019,2020,2021,2022,2023
종로구,소계,"6,769","6,649","6,431","6,365","6,292"
종로구,사직동,"7,980","7,972","7,834","7,606",-
종로구,삼청동,"2,011","1,952","1,838","1,773",-
종로구,부암동,"4,648","4,552","4,309","4,201",-
종로구,평창동,"2,121","2,095","2,066","2,013",-
종로구,무악동,"24,278","23,867","23,047","22,367",-
종로구,교남동,"30,594","30,383","29,151","28,554",-
종로구,가회동,"8,311","8,181","7,767","7,528",-
종로구,종로1.2.3.4가동,"3,594","3,595","3,657","3,702",-
종로구,종로5.6가동,"9,732","9,427","9,127","9,695",-
종로구,이화동,"10,859","10,399","9,878","9,783",-
종로구,창신1동,"19,610","19,239","18,165","17,365",-
종로구,창신2동,"37,688","36,550","34,812","33,831",-
종로구,창신3동,"31,613","30,900","29,274","28,722",-
종로구,숭인1동,"28,400","27,774","26,548","26,335",-
종로구,숭인2동,"28,291","29,080","29,071","30,026",-
종로구,청운효자동,"5,051","4,916","4,738","4,598",-
종로구,혜화동,"18,246","17,620","16,929","17,314",-
중구,소계,"13,704","13,517","13,231","13,131","13,232"
중구,소공동,"3,220","3,169","3,544","3,766",-
중구,회현동,"6,964","6,854","6,467","6,217",-
중구,명동,"3,603","3,722","3,780","3,675",-
중구,필동,"4,404","4,170","4,104","4,225",-
중구,장충동,"4,138","4,021","3,898","3,916",-
중구,광희동,"8,492","8,670","8,568","9,030",-
중구,을지로동,"3,345","3,278","3,190","3,187",-
중구,신당5동,"28,023","27,864","27,456","26,956",-
중구,황학동,"41,482","41,003","40,739","40,785",-
중구,중림동,"26,963","26,669","25,731","25,704",-
중구,신당동,"16,789","16,711","16,536","16,522",-
중구,다산동,"29,480","28,873","27,988","27,361",-
중구,약수동,"36,946","36,154","35,185","34,604",-
중구,청구동,"42,691","42,003","40,641","39,562",-
중구,동화동,"42,288","41,642","40,127","39,227",-
용산구,소계,"11,213","11,188","10,852","10,668","10,386"
용산구,후암동,"21,448","21,165","20,126","19,549",-
용산구,용산2가동,"6,039","5,751","5,497","5,272",-
용산구,남영동,"7,069","6,820","6,576","6,346",-
용산구,원효로2동,"20,730","20,185","19,542","19,430",-
용산구,효창동,"23,409","23,468","23,082","24,745",-
용산구,용문동,"44,954","44,482","42,804","41,657",-
용산구,이촌1동,"10,229","10,126","9,312","8,988",-
용산구,이촌2동,"7,381","7,220","6,864","6,634",-
용산구,이태원1동,"16,179","15,375","14,256","13,942",-
용산구,이태원2동,"12,571","12,552","12,330","12,124",-
용산구,서빙고동,"5,036","5,000","4,969","4,806",-
용산구,보광동,"22,341","21,875","20,715","19,803",-
용산구,청파동,"22,704","22,523","22,307","22,037",-
용산구,원효로1동,"28,186","28,356","28,097","30,125",-
용산구,한강로동,"6,771","7,620","8,073","7,892",-
용산구,한남동,"7,875","7,894","7,622","7,327",-
성동구,소계,"18,327","17,822","17,359","17,136","16,930"
성동구,왕십리2동,"43,278","42,478","41,022","40,702",-
성동구,마장동,"22,890","22,342","21,896","21,625",-
성동구,사근동,"12,312","12,284","12,277","12,802",-
성동구,행당1동,"27,903","24,344","24,056","23,722",-
성동구,행당2동,"58,667","57,502","55,657","55,114",-
성동구,응봉동,"28,400","27,761","27,119","26,491",-
성동구,금호1가동,"34,683","34,337","33,293","32,907",-
성동구,금호4가동,"18,127","17,669","17,205","16,938",-
성동구,성수1가1동,"8,671","8,554","8,535","8,328",-
성동구,성수1가2동,"16,556","15,436","14,465","13,845",-
성동구,성수2가1동,"15,019","14,655","13,914","13,432",-
성동구,성수2가3동,"11,342","11,123","10,665","10,214",-
성동구,송정동,"15,237","14,857","14,553","13,952",-
성동구,용답동,"5,728","5,508","5,441","5,433",-
성동구,왕십리도선동,"38,565","38,317","37,375","37,365",-
성동구,금호2.3가동,"37,767","36,850","35,795","35,036",-
성동구,옥수동,"13,960","13,872","13,561","13,321",-
광진구,소계,"21,507","21,105","20,666","20,586","20,582"
광진구,화양동,"22,015","22,018","22,443","23,347",-
광진구,군자동,"29,877","29,599","29,054","29,086",-
광진구,중곡1동,"26,269","26,113","25,584","25,263",-
광진구,중곡2동,"41,025","40,518","39,525","38,793",-
광진구,중곡3동,"28,858","28,170","27,262","26,962",-
광진구,중곡4동,"13,153","12,851","12,480","12,244",-
광진구,능동,"10,889","10,830","10,563","10,510",-
광진구,구의1동,"41,184","40,536","39,534","42,945",-
광진구,구의2동,"20,073","19,744","19,430","19,117",-
광진구,구의3동,"29,504","29,008","28,325","27,882",-
광진구,광장동,"15,097","14,903","14,575","14,377",-
광진구,자양1동,"42,379","41,596","40,586","39,840",-
광진구,자양2동,"16,008","15,486","14,839","14,436",-
광진구,자양3동,"24,563","24,131","23,608","23,215",-
광진구,자양4동,"19,828","18,557","18,359","18,328",-
동대문구,소계,"25,537","25,114","24,762","24,873","25,315"
동대문구,회기동,"17,255","16,662","16,746","17,811",-
동대문구,휘경1동,"26,203","24,384","25,563","25,935",-
동대문구,휘경2동,"23,874","23,802","23,664","23,491",-
동대문구,청량리동,"18,173","17,027","16,067","15,912",-
동대문구,용신동,"19,965","20,250","20,531","22,445",-
동대문구,제기동,"23,190","22,896","22,523","22,444",-
동대문구,전농1동,"26,113","25,817","24,957","24,555",-
동대문구,전농2동,"23,244","22,615","21,949","21,662",-
동대문구,답십리2동,"35,866","34,689","33,641","33,006",-
동대문구,장안1동,"31,322","31,430","31,035","30,942",-
동대문구,장안2동,"30,317","30,586","30,083","29,986",-
동대문구,이문1동,"21,453","20,389","20,067","20,544",-
동대문구,이문2동,"30,687","30,358","29,590","29,251",-
동대문구,답십리1동,"36,769","36,433","36,263","35,222",-
중랑구,소계,"21,736","21,603","21,188","21,092","20,948"
중랑구,면목2동,"35,537","32,745","31,695","31,436",-
중랑구,면목4동,"18,229","22,149","22,193","21,547",-
중랑구,면목5동,"15,352","20,944","21,281","21,194",-
중랑구,면목7동,"25,517","18,928","18,392","18,165",-
중랑구,상봉1동,"29,999","28,309","27,489","26,948",-
중랑구,상봉2동,"29,182","31,098","31,765","31,711",-
중랑구,중화1동,"30,759","31,875","30,913","30,145",-
중랑구,중화2동,"27,831","25,815","25,064","24,679",-
중랑구,묵1동,"30,013","29,657","28,863","28,620",-
중랑구,묵2동,"28,430","29,361","28,278","27,797",-
중랑구,망우3동,"18,122","19,030","18,150","17,721",-
중랑구,신내1동,"16,148","15,559","15,097","14,924",-
중랑구,신내2동,"22,126","22,905","22,074","21,672",-
중랑구,면목본동,"35,837","42,171","40,700","40,305",-
중랑구,면목3.8동,"15,922","15,948","15,432","15,102",-
중랑구,망우본동,"10,789","10,160","10,716","11,850",-
성북구,소계,"18,505","18,190","17,909","17,983","17,828"
성북구,돈암1동,"32,492","31,386","30,186","29,539",-
성북구,돈암2동,"52,142","51,429","49,819","49,285",-
성북구,안암동,"13,159","12,466","12,426","12,871",-
성북구,보문동,"29,738","28,791","28,154","29,843",-
성북구,정릉1동,"44,216","43,020","41,766","41,357",-
성북구,정릉2동,"20,371","20,287","19,887","19,582",-
성북구,정릉3동,"4,645","4,541","4,369","4,465",-
성북구,정릉4동,"8,560","8,304","8,090","7,959",-
성북구,길음1동,"46,939","46,289","45,082","44,304",-
성북구,길음2동,"28,655","29,598","28,931","37,462",-
성북구,월곡1동,"33,979","33,467","32,747","32,307",-
성북구,월곡2동,"15,080","14,997","14,629","14,514",-
성북구,장위1동,"29,417","29,213","35,016","34,403",-
성북구,장위2동,"20,854","21,054","20,825","20,331",-
성북구,장위3동,"27,046","26,706","24,585","24,412",-
성북구,성북동,"6,148","6,085","5,953","5,905",-
성북구,삼선동,"28,275","26,243","25,449","25,048",-
성북구,동선동,"22,296","22,255","22,075","21,740",-
성북구,종암동,"28,814","28,324","27,620","27,473",-
성북구,석관동,"21,102","21,088","20,710","20,413",-
강북구,소계,"13,462","13,202","12,820","12,614","12,414"
강북구,번1동,"29,718","29,456","28,359","28,148",-
강북구,번2동,"18,002","17,415","16,771","16,207",-
강북구,번3동,"16,592","16,005","15,368","14,954",-
강북구,수유1동,"13,078","12,855","12,484","12,276",-
강북구,수유2동,"38,489","37,886","37,581","36,937",-
강북구,수유3동,"33,422","33,204","32,490","33,025",-
강북구,삼양동,"28,063","27,189","26,156","25,374",-
강북구,미아동,"24,531","24,433","23,653","23,317",-
강북구,송중동,"30,845","30,628","29,738","29,614",-
강북구,송천동,"31,809","30,968","29,779","28,887",-
강북구,삼각산동,"53,065","51,803","50,758","49,902",-
강북구,우이동,"2,081","2,050","2,011","1,985",-
강북구,인수동,"9,897","9,617","9,318","9,121",-
도봉구,소계,"16,245","15,852","15,465","15,205","14,987"
도봉구,쌍문1동,"18,035","17,755","17,466","17,294",-
도봉구,쌍문2동,"37,083","35,937","34,933","34,187",-
도봉구,쌍문3동,"34,524","33,844","33,536","33,868",-
도봉구,쌍문4동,"38,098","37,110","35,852","35,285",-
도봉구,방학1동,"43,559","42,371","41,901","41,174",-
도봉구,방학2동,"28,568","27,666","26,847","26,154",-
도봉구,방학3동,"10,902","10,677","10,347","10,115",-
도봉구,창1동,"29,853","28,864","28,213","27,843",-
도봉구,창2동,"28,503","28,488","27,940","27,578",-
도봉구,창3동,"22,055","21,496","20,781","20,348",-
도봉구,창4동,"29,034","28,722","27,982","27,496",-
도봉구,창5동,"36,860","36,154","35,299","34,776",-
도봉구,도봉1동,"2,557","2,501","2,432","2,365",-
도봉구,도봉2동,"34,551","33,639","32,484","31,758",-
노원구,소계,"15,162","14,872","14,530","14,335","14,191"
노원구,월계1동,"20,589","19,901","19,172","18,603",-
노원구,월계2동,"14,066","14,235","13,765","13,436",-
노원구,월계3동,"27,003","26,316","25,700","25,115",-
노원구,공릉2동,"6,022","5,918","6,012","6,237",-
노원구,하계1동,"18,906","18,042","17,443","17,408",-
노원구,하계2동,"45,722","44,555","43,204","42,435",-
노원구,중계본동,"13,135","12,661","12,187","11,917",-
노원구,중계1동,"44,541","43,740","42,662","42,190",-
노원구,중계4동,"12,544","12,207","11,750","11,530",-
노원구,상계1동,"7,139","6,976","6,810","6,736",-
노원구,상계2동,"34,787","33,921","33,021","32,179",-
노원구,상계5동,"57,916","56,357","23,839","23,502",-
노원구,상계8동,"35,751","34,273","33,728","33,349",-
노원구,상계9동,"27,060","26,199","25,344","24,779",-
노원구,상계10동,"20,774","22,039","23,414","23,096",-
