자치구_코드_명,년_분기,폐업_률
강남구,2019-01,47.9
강남구,2019-02,41.4
강남구,2019-03,53.0
강남구,2019-04,45.1
강남구,2020-01,50.3
강남구,2020-02,43.9
강남구,2020-03,45.7
강남구,2020-04,38.3
강남구,2021-01,35.5
강남구,2021-02,38.4
강남구,2021-03,41.9
강남구,2021-04,34.7
강남구,2022-01,34.2
강남구,2022-02,32.5
강남구,2022-03,45.7
강남구,2022-04,40.6
강남구,2023-01,45.4
강남구,2023-02,41.9
강남구,2023-03,46.9
강남구,2023-04,39.0
강남구,2024-01,46.0
강남구,2024-02,44.9
강동구,2019-01,51.3
강동구,2019-02,51.8
강동구,2019-03,52.7
강동구,2019-04,56.1
강동구,2020-01,59.2
강동구,2020-02,37.8
강동구,2020-03,59.0
강동구,2020-04,40.2
강동구,2021-01,43.800000000000004
강동구,2021-02,43.4
강동구,2021-03,41.7
강동구,2021-04,40.3
강동구,2022-01,45.2
강동구,2022-02,39.9
강동구,2022-03,64.6
강동구,2022-04,51.7
강동구,2023-01,52.300000000000004
강동구,2023-02,47.9
강동구,2023-03,59.5
강동구,2023-04,50.1
강동구,2024-01,58.6
강동구,2024-02,56.599999999999994
강북구,2019-01,53.199999999999996
강북구,2019-02,64.7
강북구,2019-03,59.6
강북구,2019-04,42.0
강북구,2020-01,55.5
강북구,2020-02,39.5
강북구,2020-03,60.8
강북구,2020-04,51.2
강북구,2021-01,30.0
강북구,2021-02,58.8
강북구,2021-03,57.4
강북구,2021-04,47.2
강북구,2022-01,31.8
강북구,2022-02,43.2
강북구,2022-03,62.0
강북구,2022-04,53.0
강북구,2023-01,50.8
강북구,2023-02,50.5
강북구,2023-03,57.3
강북구,2023-04,42.6
강북구,2024-01,74.7
강북구,2024-02,55.0
강서구,2019-01,56.3
강서구,2019-02,53.8
강서구,2019-03,63.5
강서구,2019-04,47.6
강서구,2020-01,49.8
강서구,2020-02,41.9
강서구,2020-03,45.9
강서구,2020-04,43.9
강서구,2021-01,40.9
강서구,2021-02,45.9
강서구,2021-03,46.5
강서구,2021-04,43.4
