자치구_코드_명,년_분기,폐업_점포_수
강남구,2019-01,629
강남구,2019-02,604
강남구,2019-03,684
강남구,2019-04,622
강남구,2020-01,708
강남구,2020-02,524
강남구,2020-03,623
강남구,2020-04,601
강남구,2021-01,466
강남구,2021-02,558
강남구,2021-03,551
강남구,2021-04,509
강남구,2022-01,566
강남구,2022-02,540
강남구,2022-03,831
강남구,2022-04,678
강남구,2023-01,790
강남구,2023-02,700
강남구,2023-03,771
강남구,2023-04,649
강남구,2024-01,741
강남구,2024-02,716
강동구,2019-01,241
강동구,2019-02,287
강동구,2019-03,270
강동구,2019-04,268
강동구,2020-01,281
강동구,2020-02,190
강동구,2020-03,267
강동구,2020-04,206
강동구,2021-01,203
강동구,2021-02,243
강동구,2021-03,220
강동구,2021-04,218
강동구,2022-01,263
강동구,2022-02,302
강동구,2022-03,445
강동구,2022-04,334
강동구,2023-01,382
강동구,2023-02,312
강동구,2023-03,355
강동구,2023-04,302
강동구,2024-01,362
강동구,2024-02,317
강북구,2019-01,167
강북구,2019-02,211
강북구,2019-03,214
강북구,2019-04,170
강북구,2020-01,194
강북구,2020-02,148
강북구,2020-03,201
강북구,2020-04,183
강북구,2021-01,134
강북구,2021-02,203
강북구,2021-03,190
강북구,2021-04,177
강북구,2022-01,162
강북구,2022-02,205
강북구,2022-03,280
강북구,2022-04,239
강북구,2023-01,254
강북구,2023-02,251
강북구,2023-03,237
강북구,2023-04,214
강북구,2024-01,278
강북구,2024-02,234
강서구,2019-01,313
강서구,2019-02,320
강서구,2019-03,369
강서구,2019-04,347
강서구,2020-01,360
강서구,2020-02,275
강서구,2020-03,332
강서구,2020-04,286
강서구,2021-01,283
강서구,2021-02,342
강서구,2021-03,304
강서구,2021-04,328
강서구,2022-01,360
강서구,2022-02,341
강서구,2022-03,581
강서구,2022-04,471
강서구,2023-01,601
강서구,2023-02,478
강서구,2023-03,482
강서구,2023-04,467
강서구,2024-01,546
강서구,2024-02,496
관악구,2019-01,279
관악구,2019-02,304
관악구,2019-03,280
관악구,2019-04,258
관악구,2020-01,350
관악구,2020-02,246
관악구,2020-03,258
관악구,2020-04,242
관악구,2021-01,198
관악구,2021-02,284
관악구,2021-03,248
관악구,2021-04,264
관악구,2022-01,299
관악구,2022-02,330
관악구,2022-03,457
관악구,2022-04,358
관악구,2023-01,432
관악구,2023-02,355
관악구,2023-03,367
관악구,2023-04,351
관악구,2024-01,444
관악구,2024-02,368
광진구,2019-01,247
광진구,2019-02,261
광진구,2019-03,215
광진구,2019-04,226
광진구,2020-01,234
광진구,2020-02,198
광진구,2020-03,218
광진구,2020-04,186
광진구,2021-01,154
광진구,2021-02,238
광진구,2021-03,195
광진구,2021-04,230
