자치구_코드_명,서비스_업종_코드_명,점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,년,분기,년_분기
강동구,전자상거래업,1954,3.1,60,4,2024,2,2024-02
강동구,화장품,551,2.8,16,28,2024,2,2024-02
강동구,문구,132,5.5,8,13,2024,2,2024-02
강동구,의약품,405,1.8,8,30,2024,2,2024-02
강동구,편의점,35,4.5,19,383,2024,2,2024-02
강동구,슈퍼마켓,513,1.9,10,16,2024,2,2024-02
강동구,여관,107,4.6,5,1,2024,2,2024-02
강동구,커피-음료,605,5.5,44,202,2024,2,2024-02
강동구,치킨전문점,121,6.1,16,143,2024,2,2024-02
강동구,패스트푸드점,141,2.8,7,105,2024,2,2024-02
강동구,양식음식점,193,1.9,4,22,2024,2,2024-02
강동구,일식음식점,247,5.0,13,14,2024,2,2024-02
강동구,중식음식점,162,6.8,12,14,2024,2,2024-02
강동구,한식음식점,2024,4.3,95,174,2024,2,2024-02
송파구,전자상거래업,3288,2.5,83,12,2024,2,2024-02
송파구,화장품,1010,2.1,22,60,2024,2,2024-02
송파구,문구,254,1.8,5,26,2024,2,2024-02
송파구,의약품,708,2.0,15,38,2024,2,2024-02
송파구,편의점,69,2.4,17,627,2024,2,2024-02
송파구,슈퍼마켓,787,2.3,19,34,2024,2,2024-02
송파구,여관,132,2.3,3,0,2024,2,2024-02
송파구,커피-음료,1115,4.6,68,370,2024,2,2024-02
송파구,치킨전문점,124,4.6,15,199,2024,2,2024-02
송파구,패스트푸드점,214,4.7,19,192,2024,2,2024-02
송파구,양식음식점,480,4.1,21,36,2024,2,2024-02
송파구,일식음식점,542,4.1,24,38,2024,2,2024-02
송파구,중식음식점,247,3.7,10,23,2024,2,2024-02
송파구,한식음식점,3152,5.2,180,331,2024,2,2024-02
강남구,전자상거래업,3971,3.1,125,12,2024,2,2024-02
강남구,화장품,2758,1.5,42,105,2024,2,2024-02
강남구,문구,310,2.2,8,54,2024,2,2024-02
강남구,의약품,917,2.4,23,61,2024,2,2024-02
강남구,편의점,85,3.6,34,867,2024,2,2024-02
강남구,슈퍼마켓,960,2.8,29,60,2024,2,2024-02
강남구,여관,196,2.0,4,0,2024,2,2024-02
강남구,커피-음료,1878,3.1,81,718,2024,2,2024-02
강남구,치킨전문점,121,3.9,13,214,2024,2,2024-02
강남구,패스트푸드점,334,4.4,24,207,2024,2,2024-02
강남구,양식음식점,1386,4.3,63,93,2024,2,2024-02
강남구,일식음식점,941,4.3,44,77,2024,2,2024-02
강남구,중식음식점,473,3.0,15,27,2024,2,2024-02
강남구,한식음식점,4523,4.3,211,430,2024,2,2024-02
서초구,전자상거래업,2699,2.5,68,1,2024,2,2024-02
서초구,화장품,1128,1.9,22,60,2024,2,2024-02
서초구,문구,230,2.3,6,29,2024,2,2024-02
서초구,의약품,591,2.3,14,28,2024,2,2024-02
서초구,편의점,44,5.4,29,495,2024,2,2024-02
서초구,슈퍼마켓,509,2.0,11,38,2024,2,2024-02
서초구,여관,103,4.9,5,0,2024,2,2024-02
서초구,커피-음료,1064,2.9,41,334,2024,2,2024-02
서초구,치킨전문점,67,7.0,13,120,2024,2,2024-02
서초구,패스트푸드점,161,3.6,10,119,2024,2,2024-02
서초구,양식음식점,514,2.9,16,47,2024,2,2024-02
서초구,일식음식점,343,6.6,25,33,2024,2,2024-02
서초구,중식음식점,256,1.9,5,10,2024,2,2024-02
서초구,한식음식점,2581,3.2,91,242,2024,2,2024-02
관악구,전자상거래업,1685,3.4,58,2,2024,2,2024-02
관악구,화장품,405,3.0,13,31,2024,2,2024-02
관악구,문구,103,2.7,3,8,2024,2,2024-02
관악구,의약품,296,3.1,10,28,2024,2,2024-02
관악구,편의점,38,3.7,18,451,2024,2,2024-02
관악구,슈퍼마켓,520,1.9,10,11,2024,2,2024-02
관악구,여관,155,3.2,5,0,2024,2,2024-02
관악구,커피-음료,670,5.9,50,183,2024,2,2024-02
